Title,Price,Description,Image URL,Link,Type,Brand,Ingredients
"Azarine Intense Hydration Duo Moisturizer Kulit Kering (Intense Luminous + Advanced Youth) - INTENSE LUMINOUS, ADVANCED YOUTH",139000.0,"Get Ready for Skin Transformation with this Incredible Texture! NEW! Barrier Moisturizer Series Using Power Ingredient MossCellTec with Smart adaptation technology yang mampu memperbaiki dan memperkuat skin barrier dalam kondisi cuaca/lingkungan apapun. #InstantMoist Tersedia dalam 3 varian sesuai dengan permasalahan kulit kamu! 1. Intense Luminous Barrier Moisturizer 30g Pelembab pagi dan malam untuk mencerahkan kulit kusam, meratakan warna kulit, dan memberikan efek glowing. Cocok untuk: - Normal to Dry Skin - Combination Skin 2. Pure Radiance Barrier Moisturizer 30g Pelembab pagi dan malam untuk memudarkan bekas jerawat, merapatkan pori-pori, dan mengontrol minyak. Cocok untuk: - Normal to Oily - Acne Prone Skin",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/50871a032dbb4aa09b7b15daeb3428eb~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-intense-hydration-duo-moisturizer-kulit-kering-intense-luminous-advanced-youth-1730351540315129752?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Krim Wajah,Azarine,Ingredients tidak ditemukan.
Azarine Toner 90 ml All Skin Type - BEGINNER EXFO,55000.0,"TONER UNTUK SEMUA MASALAH KULIT #TonerSejutaUmat #SaveTheSkin #FeelThePower 1. MULTI ACIDS GLOWING TONER ( Strong Glowing Bright Skin) - Untuk semua jenis kulit terutama kulit kusam - Fokus untuk mencerahkan, glowing, anti aging ( garis halus) & moisturising - Bisa untuk bumil, busui dan kulit sensitif 2. MILD PURIFYING TONER - Untuk combination, oily/ berminyak & acne prone skin - Fokus untuk kontrol minyak/ sebum, masalah jerawat, bersihkan komedo & kecilkan pori - Bisa untuk bumil, busui dan kulit sensitif 3. MOISTURE RICH HYDRATING TONER (Radiant Healthy Dewy Skin) - Untuk semua jenis kulit terutama kulit kering dan kusam - Fokus untuk melembabkan, menenangkan kulit & melindungi dari paparan blue light serta polusi - Bisa untuk bumil, busui dan kulit sensitif 4. DAILY BEGINNER EXFOLIATING TONER ( Smooth Flawless Clear Skin) - Untuk semua jenis kulit terutama tekstur tidak rata dan bekas jerawat - Fokus untuk memudarkan bekas jerawat/ flek, meratakan kulit ( bruntusan / bopeng), kecilkan pori - Bisa untuk bumil, busui dan kulit sensitif 5. Azarine Polypeptide Fresh Vitality Toner 90ml Toner wajah yang diformulasikan dengan bahan-bahan seperti Polypeptides, Vitasource, Kombucha, dan HPR {Hydroxypinacolone Retinoate} denpan fungsi utama yaitu untuk menghambat tanda penuaan sepertl flek hitam, garis halus, kulit kusam, dan juga membantu meremajakan kullt dan tetap terjaga kelembapannya. Toner ini bisa dipakai untuk semua jenis kulit dan dapat digunakan pada malam hari. Cara Pakai: Tekan toner dengan menggunakan kapas dan aplikasikan toner pada seluruh wajah setelah mencuci muka. Gabung dengan penggunaan Retlnol Smooth Glowing Serum agar hasil lebih maksimal. Formulasi Tanpa: - Alcohol - Fragrance - Oil - Parabens",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/79ebf70993684936b91a767628cc09f2~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-toner-90-ml-all-skin-type-beginner-exfo-ff289?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Toner,Azarine,"seperti Polypeptides, Vitasource, Kombucha, dan HPR {Hydroxypinacolone Retinoate} denpan fungsi utama yaitu untuk menghambat tanda penuaan sepertl flek hitam, garis halus, kulit kusam, dan juga membantu meremajakan kullt dan tetap terjaga kelembapannya. Toner ini bisa dipakai untuk semua jenis kulit dan dapat digunakan pada malam hari. Cara Pakai: Tekan toner dengan menggunakan kapas dan aplikasikan toner pada seluruh wajah setelah mencuci muka. Gabung dengan penggunaan Retlnol Smooth Glowing Serum agar hasil lebih maksimal. Formulasi Tanpa: - Alcohol - Fragrance - Oil - Parabens"
[GIFT] Azarine Sample Size Ceramoist Botanical Micellar Water,999999.0,GIFT - NOT FOR SALE! Azarine Sample Size Ceramoist Botanical Micellar Water,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bf8616d6ba1047df99e07df9bbbfd396~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-sample-size-ceramoist-botanical-micellar-water-1731750187479238552?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Krim Wajah,Azarine,Ingredients tidak ditemukan.
Azarine Velvety Lippie Cream Lightweight Lip Velvet Lip Matte 3.2 ml (Lip Velvet) Bibir Lipstick Cherry - 04. S. popsicle,50000.0,"Azarine Velvety Lippie Cream Lightweight Lip Velvet Lip Matte 3.2 ml Lip velvet yang memiliki warna intens, lembut & ringan, dengan kandungan Hyaluronic Acid, Niacinamide & Vitamin E untuk mencerahkan dan melembapkan bibir. Dengan tekstur velvet yang lembut, Velvety Lippie Cream terasa nyaman saat diaplikasikan pada bibir. Kandungan Hyaluronic Acid dan Vitamin E membuat bibir lebih lembap, dan kandungan Niacinamide yang tidak membuat bibir tampak gelap #1 Creme Brule #2 Rosy Cone #3 Plum Sorbet #4 Strawberry Popsicle #5 Watermelon Slushie #6 Peach Froyo #7 Choco Sundae #8 Cherry Punch Key Ingrediants - Hyaluronic Acid - Vitamin E - Niacinamide Transferproof Non- Sticky Formula High Coverage Technology Lightweight",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/64b92c673ce0484ba7b6d05a60360406~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-velvety-lippie-cream-lightweight-lip-velvet-lip-matte-3-2-ml-lip-velvet-bibir-lipstick-cherry-1729665737920711576?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Lip Cream,Azarine,Ingredients tidak ditemukan.
[GIFT] Azarine Micellar Water Xpress Oil 90ml,50000.0,[GIFT] Azarine Micellar Water Xpress Oil 90ml,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/23d9bed4adff4a28b718009c43a8aa52~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-micellar-water-xpress-oil-90-ml-1730817284544365854?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Micellar Water,Azarine,Ingredients tidak ditemukan.
"AZARINE OIL FREE BRIGHTENING DAILY MOISTURIZER Berjerawat Pelembab Muka Wajah Niacinamide Facial Mencerahkan - OIL FREE MOISTURIZER, OIL FREE MOISTURIZER",58500.0,"Moisturizer atau pelembab bisa digunakan sebagai day cream dan night cream untuk kulit berminyak, berjerawat dan acne prone skin Dengan bahan aktif alami CENTELLA ASIATICA (control sebum dan anti iritasi), ROYAL JELLY (regenerasi dan memperbaiki kulit rusak) dan ARBUTIN (untuk menghilangkan bekas jerawat) Key ingredients: 1. Cica: soothing, anti iritasi (mengatasi kemerahan, mengatasi problem PIH, PIE ), merapatkan pori 2. Cinnamon bark: oil control & anti bacteria, merapatkan pori 3. Arbutin: whitening untuk mengatasi bekas jerawat 4. Resveratrol: whitening untuk memudarkan bekas jerawat, anti-oksidan dan perlindungan sinar UV 5. Royal jelly: melembabkan, memperbaiki kulit yang rusak ( bopeng/ kerut/bekas luka)",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/d305c8d8cca2430489e70bdeb19a5d45~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-oil-free-brightening-daily-moisturizer-berjerawat-pelembab-muka-wajah-niacinamide-facial-mencerahkan-1729382330975881112?extParam=whid%3D5943564%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Moisturizer,Azarine,"1. Cica: soothing, anti iritasi (mengatasi kemerahan, mengatasi problem PIH, PIE ), merapatkan pori 2. Cinnamon bark: oil control & anti bacteria, merapatkan pori 3. Arbutin: whitening untuk mengatasi bekas jerawat 4. Resveratrol: whitening untuk memudarkan bekas jerawat, anti-oksidan dan perlindungan sinar UV 5. Royal jelly: melembabkan, memperbaiki kulit yang rusak ( bopeng/ kerut/bekas luka)"
[GIFT] Azarine Active Bright Brightening Creamy Facial Foam,50000.0,NOT FOR SALE Dapatkan free Active Bright Brigtening Creamy Facial Foam dalam pembelian produk-produk tertentu! Selama persediaan masih ada,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/cdc5bfa8b7234b419289cd7194413cb6~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-active-bright-brightening-creamy-facial-foam-1729605123827796888?extParam=whid%3D5943564%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Face Wash,Azarine,Ingredients tidak ditemukan.
[GIFT] Azarine Moisture Rich Hydrating Toner 90ml,999999.0,GIFT - NOT FOR SALE Moisture Rich Hydrating Toner 90ml Wajib KLAIM!,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9cf6cb9f9cd749239d89cc20cd7aaac6~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-moisture-rich-hydrating-toner-90ml-1731746122666903448?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Toner,Azarine,Ingredients tidak ditemukan.
Azarine Active Bright - Brightening Day Moisturiser SPF 25++ 20gr - active bright day cream,28499.0,"Day Cream for Brightening with NIACINAMIDE 2% + ARBUTIN 1% + SPF 25++ Krim siang untuk mencerahkan sekaligus merawat kesehatan skin barrier kulit. Dengan perlindungan lengkap dari sinar UV, polusi dan bluelight agar kulit tampak glowing dan awet muda. Pelembab ini sangat ringan, tidak lengket dan memiliki kadar SPF 25. Di formulasikan dengan berbagai bahan aktif agar kulit senantiasa lembab dan terlindungi. Moisturiser ini untuk semua jenis kulit dan boleh di gunakan usia 12 tahun ke atas.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c2f5dd6b9220423b86b46ece57f304f2~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-active-bright-brightening-day-moisturiser-spf-25-20gr-1729487984812067736?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,Krim Wajah,Azarine,Ingredients tidak ditemukan.
"[GEL] Azarine Hydrasoothe Sunscreen GeL SPF45 PA++++ 50ml Berminyak Wajah Facial Sunblock Sunscren - Sunscreen Gel, Water Resistance",59000.0,"DAILY SKIN PROTECTION FOR SUNSCREEN HATERS ORGANIC SUNSCREEN GEL SPF45 PA++++ FOR ALL SKIN TYPES Tabir surya wajah dalam bentuk gel (water base) yang sangat ringan, dingin dan mudah meresap untuk seluruh jenis kulit termasuk kulit berminyak dan acne prone skin. Di formulasikan dengan bahan alami royal jelly, aloe vera, green tea serta bahan alami lainnya yang dapat melindungi kulit dari efek negatif sinar UV A & UV B dan menutrisi kulit. KEUNGGULAN: - No alcohol (bisa untuk kulit sensitif) - No Oil (bisa untuk kulit berminyak, kombinasi dan berjerawat) - No Silicone - No Fragrance - Blue Light Protection - Fungal acne Friendly - No Whitecast / efek dempul - Cepat meresap, ringan dan dingin dengan SPF tinggi - Mengandung ekstrak alami untuk kulit - Antioksidan & Melembabkan - Busui/Bumil friendly Full ingredients: aqua, glycerin, propanediol, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, aloe barbadensis juice extract, polymethyl methacrylate, portulaca oleracea extract, sodium hyaluronate, resveratrol, cucumis sativus fruit extract, camelia sinensis leaf extract, ectoin, phenoxyethanol, octocrylene, butylene glycol, acrylates/C10-30 alkyl acrylates crosspolymer, royal jelly, piscea abies leaf extract, allantoin, xanthan gum, panthenol, disodium EDTA, lechitin. BPOM NA 18221701516",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/538e8460c1b244b68653aff6b85a52de~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gel-azarine-hydrasoothe-sunscreen-gel-spf45-pa-50ml-berminyak-wajah-facial-sunblock-sunscren-1729382315037460376?extParam=whid%3D5943564%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Sunblock,Azarine,"aqua, glycerin, propanediol, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, aloe barbadensis juice extract, polymethyl methacrylate, portulaca oleracea extract, sodium hyaluronate, resveratrol, cucumis sativus fruit extract, camelia sinensis leaf extract, ectoin, phenoxyethanol, octocrylene, butylene glycol, acrylates/C10-30 alkyl acrylates crosspolymer, royal jelly, piscea abies leaf extract, allantoin, xanthan gum, panthenol, disodium EDTA, lechitin. BPOM NA 18221701516"
